Questions ,Answers
Are the office timings flexible?,"Yes, our office timings are flexible! We just ask that you keep up the usual standards of productivity and work quality. If you need to work fewer hours, here's how it works:

If you work between 4 to 8 hours, you'll need to apply for a half-day leave.
If you work less than 4 hours, you'll need to apply for a full day's leave."
What is the minimum working hours?,One should put minimum of 8 hours of work each day.
I lost my access card / I Card how can I issue a new one?,"You can raise a ticket on the helpdesk, and a new ID card will be issued for you. The charges for the ID card will be INR 500"
Will the Id card be chargeble the 2nd time?,"Yes, there will be a charge of INR 500 for issuing a second ID card."
I forgot to bring my ID Card today?,You can get a temp card issued on your name from the reception 
From where can i issue the stationary?,You can get it from Reception in both Gurgaon and Panchkula Location by raising a request on helpdesk.
Where all I can find Gemini on social media.," You can connect with Gemini Solutions on social media through the following links:

LinkedIn: Check us out here for company updates and news.
Facebook: Join us here for our latest posts and events.
Twitter: Follow us here for quick updates and insights.
It is also important to keep your LinkedIn profile updated with your company details!
"
How can I enroll myself in any of the engagement clubs?,"You can reach out to the Incharges of the club :
Tech Club- Ritika Jain (ritika.jain@geminisolutions.com)
Sports Club- Munit Goyal (munit.goyal@geminisolutions.com)
Cultural Club- Shreya Sharma (shreya.sharma@geminisolutions.com)"
How can I get assets issued?,"For IT and Administration related issues, you can raise a ticket on Helpdesk (https://helpdesk.geminisolutions.com/ )"
I have an issue with my laptop how can I get it resolved?,"To get it sorted out, just raise a ticket on our Helpdesk at http://helpdesk.geminisolutions.com/, and don’t forget to bring your laptop to the IT Team as well. "
Whom can I Contact in Admin for my queries?,"If you have any questions or need assistance, feel free to contact one of our  Admin team members! You can reach out to:

Gurpreet Singh at our Gurgaon office: gurpreet.singh@geminisolutions.com
Ashish Pahal at our Panchkula office: ashish.pahal@geminisolutions.com
"
Whom can I Contact  in IT for my queries?,"For any IT-related questions, you can get in touch with Manoj Khowal at manoj.khowal@geminisolutions.com. "
Whom can I Contact in HR for my queries??,"If you have any HR questions, feel free to drop us an email at hr@geminisolutions.com. We're here to help!"
SPOC for International / domestic travel?,You can reach out to the admin department.
What is the appraisal cycle?,The appraisal cycle runs from April 1st to March 31st of the financial year. 
What to do if I lose my asset?,"Here’s what you should do:

Head to the nearest police station and file a report about the loss within 24 hours. This is important to get an official record.
Once you’ve done that, please share a copy of the report with the Admin team.
If it’s a laptop that’s been lost, make sure to let your supervisor, Admin, and the IT department know right away."
How much amount I have to pay if I lose an asset?,One has to pay the depreciated amount for the Lost/Damaged Asset. You can connect with the IT Team to know the exact cost for the Asset.
,
Who is the SPOC in case of harrasment at work?,"If you need help with any work-related harassment issues, please reach out to Palak Aggarwal at palak.aggarwal@geminisolutions.com."
After how many days system password should be changed?,"For your security, we recommend changing your system password every 30 days. This helps keep your account safe and secure."
What to do if we receive SPAM mails?,"If you receive any SPAM emails, don't worry! Just make sure not to open them or any emails from unknown sources. You can either forward these emails to our IT team or simply mark them as SPAM and delete them. We're here to help keep your inbox safe!"
Who can claim local conveyance reimbursements?,"If you use your personal vehicle for work-related travel within the city, you can definitely claim local conveyance reimbursement. Just a couple of things to note: this doesn’t cover your commute from home to the office or back, and unfortunately, late-night shifts aren’t included either. Also, we’re not able to reimburse travel for training programs."
What will be the amount of local conveyance reimbursement?,"For local conveyance reimbursement, you can get:

Four-Wheeler: INR 9 per kilometer
Two-Wheeler: INR 5 per kilometer
Plus, don’t forget that parking and toll charges will be covered as well. Just make sure to submit the receipts along with your conveyance claim!"
What will be the procedure to claim local conveyance reimbursement?,"To claim local conveyance reimbursement, follow these steps:

Get Approval First: Before using your personal vehicle for official travel, make sure to get approval from your Reporting Manager. Just provide them with your vehicle details.

Fill Out the Expense Form: Complete the expense claim form and get it signed and approved by HR.

Submit for Reimbursement: Once HR has approved your form, send it over to the Accounts Team. They’ll check everything and process your payment."
If I am unable to access Hpipe then whom can I reach out?,"If you're having trouble accessing Hpipe, just shoot an email over to hiring.pipeline@geminisolutions.com."
How do I close the position on Hpipe when it is on DC acknowledgement stage?,"To close the position on Hpipe when it’s at the DC acknowledgement stage, you’ll need to have the hiring owner or the requestor who created the Hpipe ID handle it. They’ll be able to take care of closing it for you."
How can I close the request Id when the position is closed or put on hold from the clients end without submitting a resource ?,"To close the request ID when the position is either closed or put on hold by the client, you’ll need to have the person who originally created the request handle it. They’ll have the access required to close it properly. "
What needs to be done when the request in pending on Delivery head approval?,"You can drop a mail on HR-Leads@Geminisolutions.com, tagging your respective HRBP along with the Hpipe ID"
Who can access the Hpipe portal?,"
DC chairs and co-chairs listed on the MIS already have access to the Hpipe. If any other member needs access, they should contact a DC chair or co-chair to grant it via the User Management section of the Hpipe."
Where does my ticket go after ‘IE Step’?,"At the IE step, the type of hiring (""Internal"" or ""External"") is selected. Once selected, the request goes to HRBP. If ""Internal hiring"" is selected, HRBP checks for available resources within the Bench. If a suitable candidate is found, HRBP adds the candidate for DC approval. If not, the request is reverted to IE. If ""External hiring"" is selected, HRBP creates an ATS (Applicant Tracking System) ticket. The ATS is an in-house tool used by HR for tracking and hiring new candidates. If an internal candidate becomes available, HRBP can add the candidate and cancel the ATS ticket."
When to use Internal Catalyst ?,"For bench hiring requests (whether for EC Bench, 'DC,' or 'Non-DC' positions), users should use this DC to create the request. Previously, the DC for EC hiring was marked as NA. This DC receives special attention and follow-ups, necessitating a distinct workflow to differentiate it from standard DC processes."
How can additional emails be added to a request?,"Users can add individual emails when creating or editing a request. Additionally, the DC/Admin can remove these added emails by editing the request at the Delivery Head step."
How to create Hpipe request,"Open the hpipe portal, on the top right corner click on the create request then add the necessary details & upload the JD in Gemini's template and click submit."
